Solver,Instance,Status,Runtime,Solution,Heuristic
0,1,9,300.00,651.00,-1.00
0,2,9,300.01,481.00,-1.00
0,3,2,0.02,96.00,-1.00
0,4,2,0.00,26.00,-1.00
0,5,2,0.00,25.00,-1.00
0,6,2,5.36,369.00,-1.00
0,7,2,0.07,187.00,-1.00
0,8,2,0.16,271.00,-1.00
0,9,2,2.07,395.00,-1.00
0,10,2,0.00,75.00,-1.00
0,11,2,16.56,562.00,-1.00
0,12,2,0.00,202.00,-1.00
0,13,2,0.01,198.00,-1.00
0,14,2,0.00,80.00,-1.00
0,15,2,0.01,168.00,-1.00
0,16,2,0.13,304.00,-1.00
0,17,2,0.00,22.00,-1.00
0,18,2,0.00,12.00,-1.00
0,19,2,0.00,121.00,-1.00
0,20,2,0.00,35.00,-1.00
0,21,2,3.86,726.00,-1.00
0,22,2,0.39,611.00,-1.00
0,23,2,0.00,51.00,-1.00
0,24,2,0.01,217.00,-1.00
0,25,2,0.00,78.00,-1.00
0,26,2,0.00,21.00,-1.00
0,27,2,7.09,983.00,-1.00
0,28,2,0.00,117.00,-1.00
0,29,2,0.00,97.00,-1.00
0,30,2,1.48,703.00,-1.00
0,31,2,0.00,27.00,-1.00
0,32,2,0.37,1046.00,-1.00
0,33,2,69.13,1377.00,-1.00
0,34,2,0.15,703.00,-1.00
0,35,2,0.44,959.00,-1.00
0,36,2,0.00,160.00,-1.00
0,37,2,0.01,367.00,-1.00
0,38,2,0.12,437.00,-1.00
0,39,2,0.10,536.00,-1.00
0,40,9,300.01,2244.00,-1.00
0,41,2,0.01,478.00,-1.00
0,42,2,0.35,1220.00,-1.00
0,43,2,0.08,656.00,-1.00
0,44,2,0.00,159.00,-1.00
0,45,2,0.02,558.00,-1.00
0,46,9,300.01,452.00,-1.00
0,47,9,300.01,5246.00,-1.00
0,48,9,300.01,2576.00,-1.00
0,49,9,300.02,3101.00,-1.00
0,50,2,30.37,327.00,-1.00
0,51,9,300.01,4424.00,-1.00
0,52,9,300.01,3972.00,-1.00
0,53,9,300.01,812.00,-1.00
0,54,9,300.00,887.00,-1.00
0,55,2,28.78,424.00,-1.00
0,56,9,300.01,2628.00,-1.00
0,57,9,300.01,2127.00,-1.00
0,58,9,300.01,2381.00,-1.00
0,59,2,0.01,116.00,-1.00
0,60,2,0.00,12.00,-1.00
0,61,9,300,3184.00,-1.00
0,62,9,300.02,6984.00,-1.00
0,63,9,300.00,1476.00,-1.00
0,64,9,300.01,6218.00,-1.00
0,65,9,300.01,4730.00,-1.00
0,66,9,300.01,11360.00,-1.00
0,67,9,300.02,10807.00,-1.00
0,68,9,300.02,6160.00,-1.00
0,69,9,300.01,4258.00,-1.00
0,70,9,300.01,10230.00,-1.00
0,71,9,300.01,3988.00,-1.00
0,72,9,300.03,3673.00,-1.00
0,73,9,300.00,2820.00,-1.00
0,74,9,300.01,1575.00,-1.00
0,75,9,300.02,10780.00,-1.00
0,76,9,300.02,21515.00,-1.00
0,77,2,0.18,821.00,-1.00
0,78,9,300.02,8327.00,-1.00
0,79,9,300.02,13829.00,-1.00
0,80,9,300.01,13747.00,-1.00
0,81,2,0.00,122.00,-1.00
0,82,2,0.00,23.00,-1.00
0,83,9,300.02,18814.00,-1.00
0,84,2,0.06,648.00,-1.00
0,85,9,300.01,3640.00,-1.00
0,86,9,300.00,2657.00,-1.00
0,87,9,300.00,2953.00,-1.00
0,88,9,300.00,5521.00,-1.00
0,89,9,300.01,19356.00,-1.00
0,90,9,300.02,11652.00,-1.00
0,91,9,300.02,1316.00,-1.00
0,92,9,300.03,3814.00,-1.00
0,93,2,5.51,312.00,-1.00
0,94,9,300.03,10389.00,-1.00
0,95,9,300.03,13861.00,-1.00
0,96,9,300.04,9943.00,-1.00
0,97,9,300.02,7070.00,-1.00
0,98,9,300.01,16917.00,-1.00
0,99,9,300.01,2600.00,-1.00
0,100,9,300.02,2647.00,-1.00
0,101,9,300.03,14555.00,-1.00
0,102,9,300.14,17104.00,-1.00
0,103,9,300.04,17277.00,-1.00
0,104,2,0.01,194.00,-1.00
0,105,9,300,4267.00,-1.00
0,106,9,300.04,39625.00,-1.00
0,107,9,300.01,7166.00,-1.00
0,108,9,300.01,2653.00,-1.00
0,109,9,300.01,11972.00,-1.00
0,110,9,300.01,15597.00,-1.00
0,111,9,300.01,53499.00,-1.00
0,112,9,300.02,28814.00,-1.00
0,113,9,300.03,26108.00,-1.00
0,114,9,300.01,8264.00,-1.00
0,115,9,300.09,45788.00,-1.00
0,116,9,300.03,6344.00,-1.00
0,117,9,300.01,33749.00,-1.00
0,118,9,300.02,4477.00,-1.00
0,119,9,300.04,25824.00,-1.00
0,120,9,300.02,5631.00,-1.00
0,121,9,300.01,80854.00,-1.00
0,122,9,300.04,62828.00,-1.00
0,123,9,300.03,38634.00,-1.00
0,124,9,300.01,5507.00,-1.00
0,125,9,300.01,32134.00,-1.00
0,126,9,300.00,3911.00,-1.00
0,127,9,300.01,17313.00,-1.00
0,128,9,300.01,6833.00,-1.00
0,129,9,300.03,11230.00,-1.00
0,130,9,300.02,41194.00,-1.00
0,131,9,300.00,3097.00,-1.00
0,132,9,300.01,20102.00,-1.00
0,133,9,300.01,3613.00,-1.00
0,134,9,300.05,74705.00,-1.00
0,135,9,300.01,11251.00,-1.00
