Solver,Instance,Status,Runtime,Solution,Heuristic
2,1,2,0.03,651.00,-1.00
2,2,2,0.02,481.00,-1.00
2,3,2,0.00,96.00,-1.00
2,4,2,0.00,26.00,-1.00
2,5,2,0.00,25.00,-1.00
2,6,2,0.01,369.00,-1.00
2,7,2,0.01,187.00,-1.00
2,8,2,0.03,271.00,-1.00
2,9,2,0.01,395.00,-1.00
2,10,2,0.00,75.00,-1.00
2,11,2,0.10,562.00,-1.00
2,12,2,0.00,202.00,-1.00
2,13,2,0.01,198.00,-1.00
2,14,2,0.00,80.00,-1.00
2,15,2,0.01,168.00,-1.00
2,16,2,0.02,304.00,-1.00
2,17,2,0.00,22.00,-1.00
2,18,2,0.00,12.00,-1.00
2,19,2,0.00,121.00,-1.00
2,20,2,0.00,35.00,-1.00
2,21,2,0.06,726.00,-1.00
2,22,2,0.05,611.00,-1.00
2,23,2,0.00,51.00,-1.00
2,24,2,0.01,217.00,-1.00
2,25,2,0.00,78.00,-1.00
2,26,2,0.00,21.00,-1.00
2,27,2,0.13,983.00,-1.00
2,28,2,0.00,117.00,-1.00
2,29,2,0.00,97.00,-1.00
2,30,2,0.26,703.00,-1.00
2,31,2,0.00,27.00,-1.00
2,32,2,0.11,1046.00,-1.00
2,33,2,0.15,1377.00,-1.00
2,34,2,0.06,703.00,-1.00
2,35,2,0.09,959.00,-1.00
2,36,2,0.01,160.00,-1.00
2,37,2,0.05,367.00,-1.00
2,38,2,0.04,437.00,-1.00
2,39,2,0.05,536.00,-1.00
2,40,2,0.30,2244.00,-1.00
2,41,2,0.04,478.00,-1.00
2,42,2,0.23,1220.00,-1.00
2,43,2,0.05,656.00,-1.00
2,44,2,0.01,159.00,-1.00
2,45,2,0.04,558.00,-1.00
2,46,2,0.02,452.00,-1.00
2,47,2,0.45,5246.00,-1.00
2,48,2,0.13,2576.00,-1.00
2,49,2,0.20,3101.00,-1.00
2,50,2,0.03,327.00,-1.00
2,51,2,1.42,4424.00,-1.00
2,52,2,1.18,3958.00,-1.00
2,53,2,0.10,812.00,-1.00
2,54,2,0.16,887.00,-1.00
2,55,2,0.02,424.00,-1.00
2,56,2,1.08,2628.00,-1.00
2,57,2,0.17,2095.00,-1.00
2,58,2,0.26,2373.00,-1.00
2,59,2,0.00,116.00,-1.00
2,60,2,0.00,12.00,-1.00
2,61,2,0.40,3184.00,-1.00
2,62,2,0.77,6984.00,-1.00
2,63,2,0.12,1476.00,-1.00
2,64,2,0.93,6180.00,-1.00
2,65,2,0.60,4730.00,-1.00
2,66,2,7.38,11335.00,-1.00
2,67,2,2.38,10807.00,-1.00
2,68,2,1.28,6160.00,-1.00
2,69,2,0.66,4258.00,-1.00
2,70,2,8.62,10231.00,-1.00
2,71,2,1.59,3988.00,-1.00
2,72,2,0.43,3673.00,-1.00
2,73,2,0.27,2811.00,-1.00
2,74,2,0.59,1575.00,-1.00
2,75,2,6.59,10777.00,-1.00
2,76,2,3.21,21515.00,-1.00
2,77,2,0.08,821.00,-1.00
2,78,2,2.30,8327.00,-1.00
2,79,2,2.07,13829.00,-1.00
2,80,2,1.99,13747.00,-1.00
2,81,2,0.00,122.00,-1.00
2,82,2,0.00,23.00,-1.00
2,83,2,2.47,18804.00,-1.00
2,84,2,0.12,648.00,-1.00
2,85,2,0.71,3640.00,-1.00
2,86,2,0.40,2657.00,-1.00
2,87,2,4.20,2953.00,-1.00
2,88,2,1.15,5521.00,-1.00
2,89,2,3.03,19356.00,-1.00
2,90,2,9.99,11652.00,-1.00
2,91,2,0.07,1316.00,-1.00
2,92,2,0.32,3814.00,-1.00
2,93,2,0.01,312.00,-1.00
2,94,2,2.87,10050.00,-1.00
2,95,2,1.96,13071.00,-1.00
2,96,2,1.42,9912.00,-1.00
2,97,2,2.53,6999.00,-1.00
2,98,2,4.72,15924.00,-1.00
2,99,2,1.23,2600.00,-1.00
2,100,2,0.63,2647.00,-1.00
2,101,2,3.62,13985.00,-1.00
2,102,2,14.68,16253.00,-1.00
2,103,2,3.50,15958.00,-1.00
2,104,2,0.01,194.00,-1.00
2,105,2,3.75,4225.00,-1.00
2,106,2,2.78,38418.00,-1.00
2,107,2,2.70,7166.00,-1.00
2,108,2,0.86,2653.00,-1.00
2,109,2,2.32,11972.00,-1.00
2,110,2,4.97,15597.00,-1.00
2,111,2,9.22,49512.00,-1.00
2,112,2,2.07,28642.00,-1.00
2,113,2,1.98,25645.00,-1.00
2,114,2,1.23,8264.00,-1.00
2,115,2,21.71,43263.00,-1.00
2,116,2,2.48,6330.00,-1.00
2,117,2,65.53,29186.00,-1.00
2,118,2,1.28,4368.00,-1.00
2,119,2,47.44,25068.00,-1.00
2,120,2,4.84,5620.00,-1.00
2,121,2,12.35,76580.00,-1.00
2,122,2,84.12,62669.00,-1.00
2,123,2,4.62,38603.00,-1.00
2,124,2,1.21,5507.00,-1.00
2,125,2,4.40,32134.00,-1.00
2,126,2,0.80,3911.00,-1.00
2,127,2,8.37,17311.00,-1.00
2,128,2,1.54,6785.00,-1.00
2,129,2,3.45,11230.00,-1.00
2,130,2,7.23,41053.00,-1.00
2,131,2,0.57,3097.00,-1.00
2,132,2,17.38,20102.00,-1.00
2,133,2,1.93,3613.00,-1.00
2,134,2,65.09,72563.00,-1.00
2,135,2,3.38,11251.00,-1.00
