Solver,Instance,Status,Runtime,Solution,Heuristic
5,1,2,0.05,651.00,-1.00
5,2,2,0.02,481.00,-1.00
5,3,2,0.00,96.00,-1.00
5,4,2,0.00,26.00,-1.00
5,5,2,0.00,25.00,-1.00
5,6,2,0.02,369.00,-1.00
5,7,2,0.01,187.00,-1.00
5,8,2,0.03,271.00,-1.00
5,9,2,0.01,395.00,-1.00
5,10,2,0.00,75.00,-1.00
5,11,2,0.20,562.00,-1.00
5,12,2,0.01,202.00,-1.00
5,13,2,0.01,198.00,-1.00
5,14,2,0.00,80.00,-1.00
5,15,2,0.02,168.00,-1.00
5,16,2,0.02,304.00,-1.00
5,17,2,0.00,22.00,-1.00
5,18,2,0.00,12.00,-1.00
5,19,2,0.01,121.00,-1.00
5,20,2,0.00,35.00,-1.00
5,21,2,0.07,726.00,-1.00
5,22,2,0.05,611.00,-1.00
5,23,2,0.00,51.00,-1.00
5,24,2,0.02,217.00,-1.00
5,25,2,0.00,78.00,-1.00
5,26,2,0.00,21.00,-1.00
5,27,2,0.16,983.00,-1.00
5,28,2,0.01,117.00,-1.00
5,29,2,0.00,92.00,-1.00
5,30,2,0.19,703.00,-1.00
5,31,2,0.00,27.00,-1.00
5,32,2,0.12,1046.00,-1.00
5,33,2,0.18,1377.00,-1.00
5,34,2,0.08,703.00,-1.00
5,35,2,0.10,959.00,-1.00
5,36,2,0.01,160.00,-1.00
5,37,2,0.07,367.00,-1.00
5,38,2,0.05,437.00,-1.00
5,39,2,0.07,536.00,-1.00
5,40,2,0.32,2244.00,-1.00
5,41,2,0.04,478.00,-1.00
5,42,2,0.27,1220.00,-1.00
5,43,2,0.06,656.00,-1.00
5,44,2,0.01,159.00,-1.00
5,45,2,0.06,558.00,-1.00
5,46,2,0.04,452.00,-1.00
5,47,2,1.06,5246.00,-1.00
5,48,2,0.20,2576.00,-1.00
5,49,2,0.17,3101.00,-1.00
5,50,2,0.04,327.00,-1.00
5,51,2,1.23,4424.00,-1.00
5,52,2,0.51,3958.00,-1.00
5,53,2,0.20,812.00,-1.00
5,54,2,0.24,887.00,-1.00
5,55,2,0.02,424.00,-1.00
5,56,2,1.44,2628.00,-1.00
5,57,2,0.19,2095.00,-1.00
5,58,2,0.19,2373.00,-1.00
5,59,2,0.00,116.00,-1.00
5,60,2,0.00,12.00,-1.00
5,61,2,0.38,3184.00,-1.00
5,62,2,0.88,6984.00,-1.00
5,63,2,0.13,1476.00,-1.00
5,64,2,0.86,6180.00,-1.00
5,65,2,0.70,4730.00,-1.00
5,66,2,3.04,11335.00,-1.00
5,67,2,2.09,10807.00,-1.00
5,68,2,1.13,6160.00,-1.00
5,69,2,0.60,4258.00,-1.00
5,70,2,5.27,10231.00,-1.00
5,71,2,1.41,3988.00,-1.00
5,72,2,0.46,3673.00,-1.00
5,73,2,0.29,2811.00,-1.00
5,74,2,0.33,1575.00,-1.00
5,75,2,3.39,10777.00,-1.00
5,76,2,3.63,21515.00,-1.00
5,77,2,0.10,821.00,-1.00
5,78,2,2.09,8327.00,-1.00
5,79,2,2.26,13829.00,-1.00
5,80,2,2.45,13747.00,-1.00
5,81,2,0.00,122.00,-1.00
5,82,2,0.00,23.00,-1.00
5,83,2,2.94,18804.00,-1.00
5,84,2,0.12,648.00,-1.00
5,85,2,0.72,3640.00,-1.00
5,86,2,0.43,2657.00,-1.00
5,87,2,4.69,2953.00,-1.00
5,88,2,1.18,5521.00,-1.00
5,89,2,3.48,19356.00,-1.00
5,90,2,5.30,11652.00,-1.00
5,91,2,0.08,1316.00,-1.00
5,92,2,0.45,3814.00,-1.00
5,93,2,0.02,312.00,-1.00
5,94,2,4.31,10050.00,-1.00
5,95,2,2.69,13071.00,-1.00
5,96,2,2.74,9912.00,-1.00
5,97,2,2.50,6999.00,-1.00
5,98,2,4.92,15924.00,-1.00
5,99,2,0.76,2600.00,-1.00
5,100,2,0.75,2647.00,-1.00
5,101,2,2.57,13985.00,-1.00
5,102,2,15.17,16253.00,-1.00
5,103,2,4.32,15958.00,-1.00
5,104,2,0.01,194.00,-1.00
5,105,2,6.95,4225.00,-1.00
5,106,2,3.04,38418.00,-1.00
5,107,2,1.29,7166.00,-1.00
5,108,2,0.91,2653.00,-1.00
5,109,2,2.07,11972.00,-1.00
5,110,2,4.65,15597.00,-1.00
5,111,2,22.85,49512.00,-1.00
5,112,2,2.35,28642.00,-1.00
5,113,2,2.14,25645.00,-1.00
5,114,2,1.39,8264.00,-1.00
5,115,2,14.16,43263.00,-1.00
5,116,2,2.86,6330.00,-1.00
5,117,2,16.64,29186.00,-1.00
5,118,2,1.43,4368.00,-1.00
5,119,2,27.50,25068.00,-1.00
5,120,2,5.27,5620.00,-1.00
5,121,2,14.14,76580.00,-1.00
5,122,2,245.03,62669.00,-1.00
5,123,2,7.10,38603.00,-1.00
5,124,2,1.82,5507.00,-1.00
5,125,2,6.55,32134.00,-1.00
5,126,2,1.19,3911.00,-1.00
5,127,2,11.25,17311.00,-1.00
5,128,2,2.28,6785.00,-1.00
5,129,2,5.08,11230.00,-1.00
5,130,2,8.96,41053.00,-1.00
5,131,2,0.77,3097.00,-1.00
5,132,2,36.71,20102.00,-1.00
5,133,2,1.27,3613.00,-1.00
5,134,2,103.07,72563.00,-1.00
5,135,2,4.93,11251.00,-1.00
