Solver,Instance,Status,Runtime,Solution,Heuristic
1,1,2,0.01,651.00,-1.00
1,2,2,0.01,481.00,-1.00
1,3,2,0.00,96.00,-1.00
1,4,2,0.00,26.00,-1.00
1,5,2,0.00,25.00,-1.00
1,6,2,0.02,369.00,-1.00
1,7,2,0.01,187.00,-1.00
1,8,2,0.04,271.00,-1.00
1,9,2,0.01,395.00,-1.00
1,10,2,0.00,75.00,-1.00
1,11,2,0.08,562.00,-1.00
1,12,2,0.01,202.00,-1.00
1,13,2,0.01,198.00,-1.00
1,14,2,0.00,80.00,-1.00
1,15,2,0.01,168.00,-1.00
1,16,2,0.00,304.00,-1.00
1,17,2,0.00,22.00,-1.00
1,18,2,0.00,12.00,-1.00
1,19,2,0.00,121.00,-1.00
1,20,2,0.00,35.00,-1.00
1,21,2,0.01,726.00,-1.00
1,22,2,0.01,611.00,-1.00
1,23,2,0.00,51.00,-1.00
1,24,2,0.00,217.00,-1.00
1,25,2,0.00,78.00,-1.00
1,26,2,0.00,21.00,-1.00
1,27,2,0.02,983.00,-1.00
1,28,2,0.00,117.00,-1.00
1,29,2,0.00,97.00,-1.00
1,30,2,0.02,703.00,-1.00
1,31,2,0.00,27.00,-1.00
1,32,2,0.00,1046.00,-1.00
1,33,2,0.00,1377.00,-1.00
1,34,2,0.00,703.00,-1.00
1,35,2,0.00,959.00,-1.00
1,36,2,0.00,160.00,-1.00
1,37,2,0.00,367.00,-1.00
1,38,2,0.00,437.00,-1.00
1,39,2,0.00,536.00,-1.00
1,40,2,0.00,2244.00,-1.00
1,41,2,0.00,478.00,-1.00
1,42,2,0.01,1220.00,-1.00
1,43,2,0.01,656.00,-1.00
1,44,2,0.00,159.00,-1.00
1,45,2,0.01,558.00,-1.00
1,46,2,0.00,452.00,-1.00
1,47,2,0.05,5246.00,-1.00
1,48,2,0.05,2576.00,-1.00
1,49,2,0.02,3101.00,-1.00
1,50,2,0.01,327.00,-1.00
1,51,2,0.16,4424.00,-1.00
1,52,2,0.21,3958.00,-1.00
1,53,2,0.07,812.00,-1.00
1,54,2,0.16,887.00,-1.00
1,55,2,0.02,424.00,-1.00
1,56,2,0.41,2628.00,-1.00
1,57,2,0.14,2095.00,-1.00
1,58,2,0.18,2373.00,-1.00
1,59,2,0.00,116.00,-1.00
1,60,2,0.00,12.00,-1.00
1,61,2,0.01,3184.00,-1.00
1,62,2,0.02,6984.00,-1.00
1,63,2,0.00,1476.00,-1.00
1,64,2,0.01,6180.00,-1.00
1,65,2,0.01,4730.00,-1.00
1,66,2,0.10,11335.00,-1.00
1,67,2,0.05,10807.00,-1.00
1,68,2,0.08,6160.00,-1.00
1,69,2,0.02,4258.00,-1.00
1,70,2,0.08,10230.00,-1.00
1,71,2,0.08,3988.00,-1.00
1,72,2,0.05,3673.00,-1.00
1,73,2,0.03,2811.00,-1.00
1,74,2,0.02,1575.00,-1.00
1,75,2,0.31,10777.00,-1.00
1,76,2,0.03,21515.00,-1.00
1,77,2,0.00,821.00,-1.00
1,78,2,0.01,8327.00,-1.00
1,79,2,0.02,13829.00,-1.00
1,80,2,0.04,13747.00,-1.00
1,81,2,0.00,122.00,-1.00
1,82,2,0.00,23.00,-1.00
1,83,2,0.03,18804.00,-1.00
1,84,2,0.01,648.00,-1.00
1,85,2,0.01,3640.00,-1.00
1,86,2,0.02,2657.00,-1.00
1,87,2,0.14,2953.00,-1.00
1,88,2,0.01,5521.00,-1.00
1,89,2,0.02,19356.00,-1.00
1,90,2,0.29,11652.00,-1.00
1,91,2,0.01,1316.00,-1.00
1,92,2,0.08,3814.00,-1.00
1,93,2,0.00,312.00,-1.00
1,94,2,0.13,10050.00,-1.00
1,95,2,0.07,13071.00,-1.00
1,96,2,0.41,9912.00,-1.00
1,97,2,0.24,6999.00,-1.00
1,98,2,0.57,15924.00,-1.00
1,99,2,0.24,2600.00,-1.00
1,100,2,0.14,2647.00,-1.00
1,101,2,2.95,13985.00,-1.00
1,102,2,2.99,16253.00,-1.00
1,103,2,2.19,15958.00,-1.00
1,104,2,0.00,194.00,-1.00
1,105,2,1.62,4225.00,-1.00
1,106,2,0.11,38418.00,-1.00
1,107,2,0.06,7166.00,-1.00
1,108,2,0.04,2653.00,-1.00
1,109,2,0.03,11972.00,-1.00
1,110,2,0.03,15597.00,-1.00
1,111,2,0.27,49512.00,-1.00
1,112,2,0.17,28642.00,-1.00
1,113,2,0.17,25645.00,-1.00
1,114,2,0.04,8264.00,-1.00
1,115,2,0.15,43263.00,-1.00
1,116,2,0.43,6330.00,-1.00
1,117,2,1.06,29186.00,-1.00
1,118,2,0.15,4368.00,-1.00
1,119,2,1.06,25068.00,-1.00
1,120,2,0.17,5620.00,-1.00
1,121,2,0.11,76580.00,-1.00
1,122,2,0.07,62669.00,-1.00
1,123,2,0.04,38603.00,-1.00
1,124,2,0.01,5507.00,-1.00
1,125,2,0.04,32134.00,-1.00
1,126,2,0.01,3911.00,-1.00
1,127,2,0.06,17311.00,-1.00
1,128,2,0.02,6785.00,-1.00
1,129,2,0.01,11230.00,-1.00
1,130,2,0.24,41055.00,-1.00
1,131,2,0.01,3097.00,-1.00
1,132,2,0.06,20102.00,-1.00
1,133,2,0.04,3613.00,-1.00
1,134,2,0.20,72557.00,-1.00
1,135,2,0.41,11251.00,-1.00
