Solver,Instance,Status,Runtime,Solution,Heuristic
3,1,2,0.01,651.00,-1.00
3,2,2,0.03,481.00,-1.00
3,3,2,0.01,96.00,-1.00
3,4,2,0.00,26.00,-1.00
3,5,2,0.00,25.00,-1.00
3,6,2,0.04,369.00,-1.00
3,7,2,0.01,187.00,-1.00
3,8,2,0.06,271.00,-1.00
3,9,2,0.02,395.00,-1.00
3,10,2,0.00,75.00,-1.00
3,11,2,0.12,562.00,-1.00
3,12,2,0.02,202.00,-1.00
3,13,2,0.02,198.00,-1.00
3,14,2,0.00,80.00,-1.00
3,15,2,0.01,168.00,-1.00
3,16,2,0.01,304.00,-1.00
3,17,2,0.00,22.00,-1.00
3,18,2,0.00,12.00,-1.00
3,19,2,0.01,121.00,-1.00
3,20,2,0.00,35.00,-1.00
3,21,2,0.01,726.00,-1.00
3,22,2,0.01,611.00,-1.00
3,23,2,0.00,51.00,-1.00
3,24,2,0.00,217.00,-1.00
3,25,2,0.00,78.00,-1.00
3,26,2,0.00,21.00,-1.00
3,27,2,0.03,983.00,-1.00
3,28,2,0.00,117.00,-1.00
3,29,2,0.00,97.00,-1.00
3,30,2,0.03,703.00,-1.00
3,31,2,0.00,27.00,-1.00
3,32,2,0.00,1046.00,-1.00
3,33,2,0.01,1377.00,-1.00
3,34,2,0.00,703.00,-1.00
3,35,2,0.01,959.00,-1.00
3,36,2,0.00,160.00,-1.00
3,37,2,0.00,367.00,-1.00
3,38,2,0.01,437.00,-1.00
3,39,2,0.01,536.00,-1.00
3,40,2,0.01,2244.00,-1.00
3,41,2,0.01,478.00,-1.00
3,42,2,0.01,1220.00,-1.00
3,43,2,0.01,656.00,-1.00
3,44,2,0.00,159.00,-1.00
3,45,2,0.01,558.00,-1.00
3,46,2,0.01,452.00,-1.00
3,47,2,0.09,5246.00,-1.00
3,48,2,0.07,2576.00,-1.00
3,49,2,0.03,3101.00,-1.00
3,50,2,0.02,327.00,-1.00
3,51,2,0.30,4424.00,-1.00
3,52,2,0.32,3958.00,-1.00
3,53,2,0.11,812.00,-1.00
3,54,2,0.23,887.00,-1.00
3,55,2,0.02,424.00,-1.00
3,56,2,0.65,2628.00,-1.00
3,57,2,0.20,2095.00,-1.00
3,58,2,0.30,2373.00,-1.00
3,59,2,0.00,116.00,-1.00
3,60,2,0.00,12.00,-1.00
3,61,2,0.01,3184.00,-1.00
3,62,2,0.03,6984.00,-1.00
3,63,2,0.01,1476.00,-1.00
3,64,2,0.02,6180.00,-1.00
3,65,2,0.02,4730.00,-1.00
3,66,2,0.19,11335.00,-1.00
3,67,2,0.08,10807.00,-1.00
3,68,2,0.10,6160.00,-1.00
3,69,2,0.03,4258.00,-1.00
3,70,2,0.13,10230.00,-1.00
3,71,2,0.15,3988.00,-1.00
3,72,2,0.09,3673.00,-1.00
3,73,2,0.05,2811.00,-1.00
3,74,2,0.03,1575.00,-1.00
3,75,2,0.39,10777.00,-1.00
3,76,2,0.04,21515.00,-1.00
3,77,2,0.00,821.00,-1.00
3,78,2,0.02,8327.00,-1.00
3,79,2,0.03,13829.00,-1.00
3,80,2,0.07,13747.00,-1.00
3,81,2,0.00,122.00,-1.00
3,82,2,0.00,23.00,-1.00
3,83,2,0.04,18804.00,-1.00
3,84,2,0.01,648.00,-1.00
3,85,2,0.02,3640.00,-1.00
3,86,2,0.02,2657.00,-1.00
3,87,2,0.17,2953.00,-1.00
3,88,2,0.01,5521.00,-1.00
3,89,2,0.04,19356.00,-1.00
3,90,2,0.28,11652.00,-1.00
3,91,2,0.01,1316.00,-1.00
3,92,2,0.10,3814.00,-1.00
3,93,2,0.00,312.00,-1.00
3,94,2,0.19,10050.00,-1.00
3,95,2,0.12,13071.00,-1.00
3,96,2,0.52,9912.00,-1.00
3,97,2,0.38,6999.00,-1.00
3,98,2,1.02,15924.00,-1.00
3,99,2,0.44,2600.00,-1.00
3,100,2,0.18,2647.00,-1.00
3,101,2,4.44,13985.00,-1.00
3,102,2,3.19,16253.00,-1.00
3,103,2,2.14,15958.00,-1.00
3,104,2,0.01,194.00,-1.00
3,105,2,1.87,4225.00,-1.00
3,106,2,0.12,38418.00,-1.00
3,107,2,0.06,7166.00,-1.00
3,108,2,0.06,2653.00,-1.00
3,109,2,0.03,11972.00,-1.00
3,110,2,0.03,15597.00,-1.00
3,111,2,0.22,49512.00,-1.00
3,112,2,0.17,28642.00,-1.00
3,113,2,0.19,25645.00,-1.00
3,114,2,0.04,8264.00,-1.00
3,115,2,0.15,43263.00,-1.00
3,116,2,0.49,6330.00,-1.00
3,117,2,1.43,29186.00,-1.00
3,118,2,0.11,4368.00,-1.00
3,119,2,0.77,25068.00,-1.00
3,120,2,0.20,5620.00,-1.00
3,121,2,0.10,76580.00,-1.00
3,122,2,0.08,62669.00,-1.00
3,123,2,0.04,38603.00,-1.00
3,124,2,0.01,5507.00,-1.00
3,125,2,0.04,32134.00,-1.00
3,126,2,0.01,3911.00,-1.00
3,127,2,0.07,17311.00,-1.00
3,128,2,0.02,6785.00,-1.00
3,129,2,0.01,11230.00,-1.00
3,130,2,0.14,41055.00,-1.00
3,131,2,0.01,3097.00,-1.00
3,132,2,0.08,20102.00,-1.00
3,133,2,0.06,3613.00,-1.00
3,134,2,0.22,72557.00,-1.00
3,135,2,0.25,11251.00,-1.00

